aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alsa-card-profiles 1:0.3.30-2
alsa-lib 1.2.5-2
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5-1
alsa-ucm-conf 1.2.5-2
amtk 5.3.1-1
aom 3.1.1-1
apache 2.4.48-1
appstream 0.14.3-1
apr 1.7.0-3
apr-util 1.6.1-8
arc-gtk-theme 20210412-1
archlinux-keyring 20210110-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.2-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.1-1
autoconf 2.71-1
autojump 22.5.3-7
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
babl 0.1.86-1
baobab 40.0-1
base 2-2
bash 5.1.008-1
binutils 2.36.1-3
bison 3.7.6-1
blas 3.9.1-1
blueman 2.1.4-1
bluez 5.58-1
bluez-libs 5.58-1
bluez-utils 5.58-1
bolt 0.9.1-1
boost-libs 1.76.0-1
box2d 2.4.1-1
brltty 6.3-2
brotli 1.0.9-4
btrfs-progs 5.12.1-1
bubblewrap 0.4.1-2
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.66-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
cdparanoia 10.2-8
cdrtools 3.02a09-4
cheese 3.38.0-1
chromaprint 1.5.0-3
cifs-utils 6.13-2
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.20.3-1
cogl 1.22.8-1
colord 1.4.5-4
colord-gtk 0.2.0-2
colord-sane 1.4.5-4
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.6-1
cups-pk-helper 0.2.6-4
curl 7.77.0-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dbus-python 1.2.16-4
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
diffutils 3.7-3
djvulibre 3.5.28-3
dleyna-connector-dbus 0.4.0-1
dleyna-core 0.7.0-1
dleyna-renderer 0.7.0-2
dleyna-server 0.7.0-2
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dosfstools 4.2-1
